naslov,avtor,ocena_raw,povezava
My Cousin Rachel,Daphne du Maurier,"4.01 avg rating — 73,038 ratings",https://www.goodreads.com/book/show/50239.My_Cousin_Rachel
"The 39 Steps (Richard Hannay, #1)",John Buchan,"3.59 avg rating — 48,242 ratings",https://www.goodreads.com/book/show/153492.The_39_Steps
Disgrace,J.M. Coetzee,"3.86 avg rating — 120,749 ratings",https://www.goodreads.com/book/show/6192.Disgrace
Orlando,Virginia Woolf,"3.87 avg rating — 121,230 ratings",https://www.goodreads.com/book/show/18839.Orlando
"Trainspotting (Mark Renton, #2)",Irvine Welsh,"4.12 avg rating — 185,052 ratings",https://www.goodreads.com/book/show/135839.Trainspotting
The Island of Dr. Moreau,H.G. Wells,"3.73 avg rating — 138,998 ratings",https://www.goodreads.com/book/show/29981.The_Island_of_Dr_Moreau
Howards End,E.M. Forster,"3.96 avg rating — 96,326 ratings",https://www.goodreads.com/book/show/3102.Howards_End
White Teeth,Zadie Smith,"3.79 avg rating — 179,427 ratings",https://www.goodreads.com/book/show/3711.White_Teeth
The Man in the High Castle,Philip K. Dick,"3.59 avg rating — 242,585 ratings",https://www.goodreads.com/book/show/216363.The_Man_in_the_High_Castle
Solaris,Stanisław Lem,"3.98 avg rating — 138,334 ratings",https://www.goodreads.com/book/show/95558.Solaris
"The Forever War (The Forever War, #1)",Joe Haldeman,"4.14 avg rating — 184,294 ratings",https://www.goodreads.com/book/show/21611.The_Forever_War
The Age of Innocence,Edith Wharton,"3.97 avg rating — 202,389 ratings",https://www.goodreads.com/book/show/53835.The_Age_of_Innocence
"The Spy Who Came In from the Cold (George Smiley, #3)",John le Carré,"4.09 avg rating — 132,832 ratings",https://www.goodreads.com/book/show/19494.The_Spy_Who_Came_In_from_the_Cold
Lady Chatterley's Lover,D.H. Lawrence,"3.50 avg rating — 141,330 ratings",https://www.goodreads.com/book/show/49583709-lady-chatterley-s-lover
A Handful of Dust,Evelyn Waugh,"3.88 avg rating — 29,669 ratings",https://www.goodreads.com/book/show/531262.A_Handful_of_Dust
"The Long Goodbye (Philip Marlowe, #6)",Raymond Chandler,"4.19 avg rating — 48,162 ratings",https://www.goodreads.com/book/show/2054.The_Long_Goodbye
The Idiot,Fyodor Dostoevsky,"4.21 avg rating — 228,680 ratings",https://www.goodreads.com/book/show/12505.The_Idiot
I Am Legend and Other Stories,Richard Matheson,"really liked it4.00 avg rating — 137,733 ratings",https://www.goodreads.com/book/show/547094.I_Am_Legend_and_Other_Stories
The Moonstone,Wilkie Collins,"3.91 avg rating — 100,799 ratings",https://www.goodreads.com/book/show/6138.The_Moonstone
"The History of Tom Jones, a Foundling",Henry Fielding,"3.75 avg rating — 34,615 ratings",https://www.goodreads.com/book/show/99329.The_History_of_Tom_Jones_a_Foundling
"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,"3.72 avg rating — 23,278 ratings",https://www.goodreads.com/book/show/76527.The_Life_and_Opinions_of_Tristram_Shandy_Gentleman
A History of the World in 10½  Chapters,Julian Barnes,"3.88 avg rating — 16,752 ratings",https://www.goodreads.com/book/show/43980.A_History_of_the_World_in_10_Chapters
Native Son,Richard Wright,"4.05 avg rating — 107,306 ratings",https://www.goodreads.com/book/show/15622.Native_Son
East of Eden,John Steinbeck,"4.45 avg rating — 698,782 ratings",https://www.goodreads.com/book/show/276626.East_of_Eden
"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",Fyodor Dostoevsky,"4.19 avg rating — 78,992 ratings",https://www.goodreads.com/book/show/17876.Notes_from_Underground_White_Nights_The_Dream_of_a_Ridiculous_Man_and_Selections_from_The_House_of_the_Dead
Germinal,Émile Zola,"4.21 avg rating — 44,625 ratings",https://www.goodreads.com/book/show/28407.Germinal
Empire of the Sun,J.G. Ballard,"3.98 avg rating — 23,200 ratings",https://www.goodreads.com/book/show/56674.Empire_of_the_Sun
The Constant Gardener,John le Carré,"3.83 avg rating — 31,703 ratings",https://www.goodreads.com/book/show/19000.The_Constant_Gardener
Oblomov,Ivan Goncharov,"4.14 avg rating — 44,082 ratings",https://www.goodreads.com/book/show/254308.Oblomov
Naked Lunch: The Restored Text,William S. Burroughs,"3.46 avg rating — 100,337 ratings",https://www.goodreads.com/book/show/7437.Naked_Lunch
Wide Sargasso Sea,Jean Rhys,"3.59 avg rating — 111,257 ratings",https://www.goodreads.com/book/show/9499402-wide-sargasso-sea
The Amazing Adventures of Kavalier & Clay,Michael Chabon,"4.19 avg rating — 216,015 ratings",https://www.goodreads.com/book/show/3985.The_Amazing_Adventures_of_Kavalier_Clay
The Red Badge of Courage,Stephen Crane,"3.30 avg rating — 111,569 ratings",https://www.goodreads.com/book/show/35220.The_Red_Badge_of_Courage
Kindred,Octavia E. Butler,"4.31 avg rating — 289,864 ratings",https://www.goodreads.com/book/show/60931.Kindred
Scoop,Evelyn Waugh,"3.78 avg rating — 23,059 ratings",https://www.goodreads.com/book/show/30919.Scoop
Miss Smilla's Feeling for Snow,Peter Høeg,"3.73 avg rating — 53,270 ratings",https://www.goodreads.com/book/show/782857.Miss_Smilla_s_Feeling_for_Snow
Palace Walk (The Cairo Trilogy #1),Naguib Mahfouz,"4.20 avg rating — 23,345 ratings",https://www.goodreads.com/book/show/11446013-palace-walk
"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,"4.60 avg rating — 275,404 ratings",https://www.goodreads.com/book/show/256008.Lonesome_Dove
Blindness,José Saramago,"4.18 avg rating — 354,052 ratings",https://www.goodreads.com/book/show/2526.Blindness
Lucky Jim,Kingsley Amis,"3.74 avg rating — 32,884 ratings",https://www.goodreads.com/book/show/395182.Lucky_Jim
The Sound and the Fury,William Faulkner,"3.86 avg rating — 200,387 ratings",https://www.goodreads.com/book/show/10975.The_Sound_and_the_Fury
"Murder Must Advertise  (Lord Peter Wimsey, #10)",Dorothy L. Sayers,"4.16 avg rating — 25,320 ratings",https://www.goodreads.com/book/show/351559.Murder_Must_Advertise
Northanger Abbey,Jane Austen,"3.85 avg rating — 468,066 ratings",https://www.goodreads.com/book/show/50398.Northanger_Abbey
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,"4.14 avg rating — 1,090,933 ratings",https://www.goodreads.com/book/show/40604658-jurassic-park
"Asterix the Gaul (Asterix, #1)",René Goscinny,"4.18 avg rating — 34,423 ratings",https://www.goodreads.com/book/show/71292.Asterix_the_Gaul
Misery,Stephen  King(Goodreads Author),"4.22 avg rating — 850,213 ratings",https://www.goodreads.com/book/show/10614.Misery
Neuromancer (Sprawl #1),William Gibson,"3.89 avg rating — 375,102 ratings",https://www.goodreads.com/book/show/22328.Neuromancer
The Pickwick Papers,Charles Dickens,"3.85 avg rating — 32,851 ratings",https://www.goodreads.com/book/show/229432.The_Pickwick_Papers
The Third Man,Graham Greene,"3.78 avg rating — 17,135 ratings",https://www.goodreads.com/book/show/48800.The_Third_Man
The Beach,Alex Garland,"really liked it4.00 avg rating — 104,042 ratings",https://www.goodreads.com/book/show/607639.The_Beach
The English Patient,Michael Ondaatje,"3.86 avg rating — 141,624 ratings",https://www.goodreads.com/book/show/11713.The_English_Patient
The Day of the Triffids,John Wyndham,"4.01 avg rating — 119,955 ratings",https://www.goodreads.com/book/show/530965.The_Day_of_the_Triffids
Mansfield Park,Jane Austen,"3.86 avg rating — 387,855 ratings",https://www.goodreads.com/book/show/45032.Mansfield_Park
The Uncommon Reader,Alan Bennett,"3.73 avg rating — 62,685 ratings",https://www.goodreads.com/book/show/1096390.The_Uncommon_Reader
Molloy,Samuel Beckett,"4.05 avg rating — 10,294 ratings",https://www.goodreads.com/book/show/446542.Molloy
The Fall,Albert Camus,"4.02 avg rating — 143,481 ratings",https://www.goodreads.com/book/show/11991.The_Fall
The Witches of Eastwick,John Updike,"3.21 avg rating — 18,817 ratings",https://www.goodreads.com/book/show/217518.The_Witches_of_Eastwick
"Titus Groan (Gormenghast, #1)",Mervyn Peake,"3.92 avg rating — 24,568 ratings",https://www.goodreads.com/book/show/39063.Titus_Groan
The Jungle,Upton Sinclair,"3.78 avg rating — 157,247 ratings",https://www.goodreads.com/book/show/41681.The_Jungle
"Gorky Park (Arkady Renko, #1)",Martin Cruz Smith,"4.04 avg rating — 70,729 ratings",https://www.goodreads.com/book/show/762806.Gorky_Park
"Barchester Towers (Chronicles of Barsetshire, #2)",Anthony Trollope,"4.06 avg rating — 18,087 ratings",https://www.goodreads.com/book/show/125321.Barchester_Towers
The Maltese Falcon,Dashiell Hammett,"3.86 avg rating — 118,384 ratings",https://www.goodreads.com/book/show/29999.The_Maltese_Falcon
American Pastoral,Philip Roth,"3.95 avg rating — 90,693 ratings",https://www.goodreads.com/book/show/11650.American_Pastoral
The Bonfire of the Vanities,Tom Wolfe,"3.93 avg rating — 88,981 ratings",https://www.goodreads.com/book/show/2666.The_Bonfire_of_the_Vanities
Notes from Underground,Fyodor Dostoevsky,"4.16 avg rating — 252,591 ratings",https://www.goodreads.com/book/show/49455.Notes_from_Underground
Le Grand Meaulnes,Alain-Fournier,"3.72 avg rating — 16,454 ratings",https://www.goodreads.com/book/show/6147139-le-grand-meaulnes
Carrie's War,Nina Bawden,"3.92 avg rating — 9,314 ratings",https://www.goodreads.com/book/show/885349.Carrie_s_War
Ivanhoe,Walter  Scott,"3.77 avg rating — 100,372 ratings",https://www.goodreads.com/book/show/6440.Ivanhoe
The Stars My Destination,Alfred Bester,"4.05 avg rating — 56,640 ratings",https://www.goodreads.com/book/show/333867.The_Stars_My_Destination
Midnight’s Children,Salman Rushdie,"3.97 avg rating — 135,864 ratings",https://www.goodreads.com/book/show/14836.Midnight_s_Children
The Andromeda Strain,Michael Crichton,"3.91 avg rating — 275,958 ratings",https://www.goodreads.com/book/show/85432.The_Andromeda_Strain
"Dissolution (Matthew Shardlake, #1)",C.J. Sansom,"4.06 avg rating — 63,264 ratings",https://www.goodreads.com/book/show/138685.Dissolution
Travels with My Aunt,Graham Greene,"3.79 avg rating — 17,530 ratings",https://www.goodreads.com/book/show/48858.Travels_with_My_Aunt
Flaubert's Parrot,Julian Barnes,"3.64 avg rating — 17,165 ratings",https://www.goodreads.com/book/show/2176.Flaubert_s_Parrot
Far From the Madding Crowd,Thomas Hardy,"3.97 avg rating — 169,960 ratings",https://www.goodreads.com/book/show/31463.Far_From_the_Madding_Crowd
"Thank You, Jeeves (Jeeves, #5)",P.G. Wodehouse,"4.18 avg rating — 20,064 ratings",https://www.goodreads.com/book/show/16241200-thank-you-jeeves
The Reader,Bernhard Schlink,"3.79 avg rating — 236,726 ratings",https://www.goodreads.com/book/show/101299.The_Reader
Enduring Love,Ian McEwan(Goodreads Author),"3.65 avg rating — 48,874 ratings",https://www.goodreads.com/book/show/6870.Enduring_Love
Ringworld (Ringworld #1),Larry Niven,"3.93 avg rating — 130,660 ratings",https://www.goodreads.com/book/show/61179.Ringworld
The French Lieutenant's Woman,John Fowles,"3.88 avg rating — 56,323 ratings",https://www.goodreads.com/book/show/6989218-the-french-lieutenant-s-woman
Sister Carrie,Theodore Dreiser,"3.78 avg rating — 42,208 ratings",https://www.goodreads.com/book/show/126609.Sister_Carrie
"The Secret Diary of Adrian Mole, Aged 13¾  (Adrian Mole, #1)",Sue Townsend,"3.88 avg rating — 52,667 ratings",https://www.goodreads.com/book/show/51070.The_Secret_Diary_of_Adrian_Mole_Aged_13_
The Mill on the Floss,George Eliot,"3.84 avg rating — 60,217 ratings",https://www.goodreads.com/book/show/20564.The_Mill_on_the_Floss
Little Dorrit,Charles Dickens,"really liked it4.00 avg rating — 50,403 ratings",https://www.goodreads.com/book/show/31250.Little_Dorrit
"Casino Royale (James Bond, #1)",Ian Fleming,"3.74 avg rating — 100,038 ratings",https://www.goodreads.com/book/show/3758.Casino_Royale
Bonjour tristesse,Françoise Sagan,"3.74 avg rating — 79,646 ratings",https://www.goodreads.com/book/show/61672.Bonjour_tristesse
My Name Is Asher Lev,Chaim Potok,"4.24 avg rating — 44,035 ratings",https://www.goodreads.com/book/show/11507.My_Name_Is_Asher_Lev
"The Murder at the Vicarage (Miss Marple, #1)",Agatha Christie,"4.04 avg rating — 221,275 ratings",https://www.goodreads.com/book/show/16159003-the-murder-at-the-vicarage
Of Human Bondage,W. Somerset Maugham,"4.16 avg rating — 62,901 ratings",https://www.goodreads.com/book/show/31548.Of_Human_Bondage
True History of the Kelly Gang,Peter Carey,"3.83 avg rating — 24,670 ratings",https://www.goodreads.com/book/show/110090.True_History_of_the_Kelly_Gang
Cat's Eye,Margaret Atwood(Goodreads Author),"3.95 avg rating — 74,322 ratings",https://www.goodreads.com/book/show/51019.Cat_s_Eye
Père Goriot,Honoré de Balzac,"3.85 avg rating — 69,110 ratings",https://www.goodreads.com/book/show/59145.P_re_Goriot
Cakes and Ale,W. Somerset Maugham,"3.78 avg rating — 8,177 ratings",https://www.goodreads.com/book/show/191793.Cakes_and_Ale
A Kestrel for a Knave,Barry Hines,"4.08 avg rating — 8,468 ratings",https://www.goodreads.com/book/show/328766.A_Kestrel_for_a_Knave
Journey to the End of the Night,Louis-Ferdinand Céline,"4.18 avg rating — 49,523 ratings",https://www.goodreads.com/book/show/12395.Journey_to_the_End_of_the_Night
The Power and the Glory,Graham Greene,"3.99 avg rating — 45,164 ratings",https://www.goodreads.com/book/show/3690.The_Power_and_the_Glory
Journey to the Center of the Earth,Jules Verne,"3.85 avg rating — 231,545 ratings",https://www.goodreads.com/book/show/32829.Journey_to_the_Center_of_the_Earth
The Postman Always Rings Twice,James M. Cain,"3.76 avg rating — 50,445 ratings",https://www.goodreads.com/book/show/25807.The_Postman_Always_Rings_Twice
"Consider Phlebas (Culture, #1)",Iain M. Banks,"3.85 avg rating — 103,375 ratings",https://www.goodreads.com/book/show/8935689-consider-phlebas
Zorba the Greek,Nikos Kazantzakis,"4.02 avg rating — 60,816 ratings",https://www.goodreads.com/book/show/53639.Zorba_the_Greek
Tales of the City (Tales of the City #1),Armistead Maupin,"3.99 avg rating — 48,766 ratings",https://www.goodreads.com/book/show/16255.Tales_of_the_City
Babbitt,Sinclair Lewis,"3.70 avg rating — 25,207 ratings",https://www.goodreads.com/book/show/169718.Babbitt
The Third Policeman,Flann O'Brien,"3.96 avg rating — 23,883 ratings",https://www.goodreads.com/book/show/27208.The_Third_Policeman
Silas Marner,George Eliot,"3.70 avg rating — 95,623 ratings",https://www.goodreads.com/book/show/54539.Silas_Marner
Only Forward,Michael Marshall Smith(Goodreads Author),"4.22 avg rating — 6,248 ratings",https://www.goodreads.com/book/show/920395.Only_Forward
"Love Story (Love Story, #1)",Erich Segal,"3.66 avg rating — 65,235 ratings",https://www.goodreads.com/book/show/73968.Love_Story
The Far Pavilions,M.M. Kaye,"4.20 avg rating — 45,449 ratings",https://www.goodreads.com/book/show/18180811-the-far-pavilions
Vurt,Jeff Noon,"4.04 avg rating — 10,565 ratings",https://www.goodreads.com/book/show/430214.Vurt
Buddenbrooks: The Decline of a Family,Thomas Mann,"4.21 avg rating — 37,896 ratings",https://www.goodreads.com/book/show/80890.Buddenbrooks
The Glass Bead Game,Hermann Hesse,"4.10 avg rating — 43,552 ratings",https://www.goodreads.com/book/show/16634.The_Glass_Bead_Game
"Devil in a Blue Dress (Easy Rawlins, #1)",Walter Mosley,"3.86 avg rating — 31,386 ratings",https://www.goodreads.com/book/show/37100.Devil_in_a_Blue_Dress
A High Wind in Jamaica,Richard Hughes,"3.76 avg rating — 10,772 ratings",https://www.goodreads.com/book/show/188458.A_High_Wind_in_Jamaica
"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,"3.96 avg rating — 126,135 ratings",https://www.goodreads.com/book/show/2247142.The_Talented_Mr_Ripley
The Red and the Black,Stendhal,"3.86 avg rating — 86,508 ratings",https://www.goodreads.com/book/show/14662.The_Red_and_the_Black
"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,"4.07 avg rating — 381,870 ratings",https://www.goodreads.com/book/show/28877.Red_Dragon
"The Prisoner of Zenda (The Ruritania Trilogy, #2)",Anthony Hope,"3.83 avg rating — 23,008 ratings",https://www.goodreads.com/book/show/54492.The_Prisoner_of_Zenda
The Call of the Wild,Jack London,"3.92 avg rating — 484,437 ratings",https://www.goodreads.com/book/show/1852.The_Call_of_the_Wild
Steppenwolf,Hermann Hesse,"4.13 avg rating — 224,063 ratings",https://www.goodreads.com/book/show/16631.Steppenwolf
Everything Is Illuminated,Jonathan Safran Foer(Goodreads Author),"3.89 avg rating — 184,993 ratings",https://www.goodreads.com/book/show/4584.Everything_Is_Illuminated
The Man Who Was Thursday: A Nightmare,G.K. Chesterton,"3.82 avg rating — 48,257 ratings",https://www.goodreads.com/book/show/184419.The_Man_Who_Was_Thursday
The Night Watch,Sarah Waters,"3.71 avg rating — 33,896 ratings",https://www.goodreads.com/book/show/25584847-the-night-watch
Lolly Willowes,Sylvia Townsend Warner,"3.68 avg rating — 14,450 ratings",https://www.goodreads.com/book/show/937105.Lolly_Willowes
Monkey: The Journey to the West,Wu Cheng'en,"4.04 avg rating — 8,421 ratings",https://www.goodreads.com/book/show/100237.Monkey
The Day of the Jackal,Frederick Forsyth,"4.27 avg rating — 148,727 ratings",https://www.goodreads.com/book/show/540020.The_Day_of_the_Jackal
Austerlitz,W.G. Sebald,"3.98 avg rating — 28,328 ratings",https://www.goodreads.com/book/show/88442.Austerlitz
The New York Trilogy: City of Glass / Ghosts / The Locked Room,Paul Auster,"3.86 avg rating — 89,464 ratings",https://www.goodreads.com/book/show/433.The_New_York_Trilogy
Unless,Carol Shields,"3.63 avg rating — 17,265 ratings",https://www.goodreads.com/book/show/74462.Unless
The Sirens of Titan,Kurt Vonnegut Jr.,"4.15 avg rating — 162,668 ratings",https://www.goodreads.com/book/show/4982.The_Sirens_of_Titan
"A Dance to the Music of Time, Complete Set: 1st Movement, 2nd Movement, 3rd Movement, 4th Movement",Anthony  Powell,4.41 avg rating — 164 ratings,https://www.goodreads.com/book/show/7885894-a-dance-to-the-music-of-time-complete-set
The Drowned World,J.G. Ballard,"3.47 avg rating — 21,367 ratings",https://www.goodreads.com/book/show/262356.The_Drowned_World
A Town Like Alice,Nevil Shute,"4.16 avg rating — 63,315 ratings",https://www.goodreads.com/book/show/107301.A_Town_Like_Alice
The Golden Notebook,Doris Lessing,"3.77 avg rating — 25,237 ratings",https://www.goodreads.com/book/show/24100.The_Golden_Notebook
Pale Fire,Vladimir Nabokov,"4.17 avg rating — 59,663 ratings",https://www.goodreads.com/book/show/7805.Pale_Fire
Jacques the Fatalist,Denis Diderot,"3.79 avg rating — 9,993 ratings",https://www.goodreads.com/book/show/18212.Jacques_the_Fatalist
The Foundlings and the Fisherman from Tumby,Phillip Leighton-Daly,4.87 avg rating — 82 ratings,https://www.goodreads.com/book/show/209183629-the-foundlings-and-the-fisherman-from-tumby
The Crying of Lot 49,Thomas Pynchon,"3.69 avg rating — 101,083 ratings",https://www.goodreads.com/book/show/2794.The_Crying_of_Lot_49
McTeague: A Story of San Francisco,Frank Norris,"3.68 avg rating — 7,011 ratings",https://www.goodreads.com/book/show/168655.McTeague
How Green Was My Valley,Richard Llewellyn,"4.21 avg rating — 19,299 ratings",https://www.goodreads.com/book/show/40496.How_Green_Was_My_Valley
"The Ipcress File (Secret File, #1)",Len Deighton,"3.90 avg rating — 18,400 ratings",https://www.goodreads.com/book/show/171624.The_Ipcress_File
Lake Wobegon Days,Garrison Keillor,"3.64 avg rating — 8,603 ratings",https://www.goodreads.com/book/show/77244.Lake_Wobegon_Days
Weave World,Clive Barker(Goodreads Author),"4.13 avg rating — 34,662 ratings",https://www.goodreads.com/book/show/52640.Weave_World
"A Time to Kill (Jake Brigance, #1)",John Grisham(Goodreads Author),"4.12 avg rating — 832,527 ratings",https://www.goodreads.com/book/show/32542.A_Time_to_Kill
Excellent Women,Barbara Pym,"3.90 avg rating — 21,976 ratings",https://www.goodreads.com/book/show/178565.Excellent_Women
Extinction,Thomas Bernhard,"4.31 avg rating — 3,551 ratings",https://www.goodreads.com/book/show/162612.Extinction
Oranges Are Not the Only Fruit,Jeanette Winterson,"3.73 avg rating — 96,987 ratings",https://www.goodreads.com/book/show/15055.Oranges_Are_Not_the_Only_Fruit
The Passion of New Eve,Angela Carter,"3.67 avg rating — 5,232 ratings",https://www.goodreads.com/book/show/581720.The_Passion_of_New_Eve
"Master & Commander (Aubrey & Maturin, #1)",Patrick O'Brian,"4.06 avg rating — 65,371 ratings",https://www.goodreads.com/book/show/77430.Master_Commander
Riddley Walker,Russell Hoban,"4.02 avg rating — 8,894 ratings",https://www.goodreads.com/book/show/776573.Riddley_Walker
The Secret History,Donna Tartt,"4.15 avg rating — 1,102,757 ratings",https://www.goodreads.com/book/show/29044.The_Secret_History
The Crab With the Golden Claws (Tintin #9),Hergé,"4.11 avg rating — 16,068 ratings",https://www.goodreads.com/book/show/165555.The_Crab_With_the_Golden_Claws
Middlesex,Jeffrey Eugenides,"4.04 avg rating — 670,979 ratings",https://www.goodreads.com/book/show/2187.Middlesex
The Piano Teacher,Elfriede Jelinek,"3.62 avg rating — 17,602 ratings",https://www.goodreads.com/book/show/219879.The_Piano_Teacher
They Were Counted,Miklós Bánffy,"4.20 avg rating — 1,594 ratings",https://www.goodreads.com/book/show/709829.They_Were_Counted
Passing,Nella Larsen,"3.91 avg rating — 85,173 ratings",https://www.goodreads.com/book/show/349929.Passing
The Return of the Soldier,Rebecca West,"3.69 avg rating — 9,600 ratings",https://www.goodreads.com/book/show/160010.The_Return_of_the_Soldier
"The Siege of Krishnapur (Empire Trilogy, #2)",J.G. Farrell,"3.93 avg rating — 8,822 ratings",https://www.goodreads.com/book/show/256280.The_Siege_of_Krishnapur
"The Laughing Policeman (Martin Beck, #4)",Maj Sjöwall,"3.99 avg rating — 11,027 ratings",https://www.goodreads.com/book/show/6261019-the-laughing-policeman
"You Only Live Twice (James Bond, #12)",Ian Fleming,"3.74 avg rating — 16,884 ratings",https://www.goodreads.com/book/show/3761.You_Only_Live_Twice
Doctor Zhivago,Boris Pasternak,"4.01 avg rating — 105,015 ratings",https://www.goodreads.com/book/show/130440.Doctor_Zhivago
Pnin,Vladimir Nabokov,"3.87 avg rating — 30,829 ratings",https://www.goodreads.com/book/show/30593.Pnin
"Goldfinger (James Bond, #7)",Ian Fleming,"3.83 avg rating — 28,041 ratings",https://www.goodreads.com/book/show/3759.Goldfinger
Kidnapped,Robert Louis Stevenson,"3.79 avg rating — 69,039 ratings",https://www.goodreads.com/book/show/978362.Kidnapped
Decline and Fall,Evelyn Waugh,"3.82 avg rating — 16,459 ratings",https://www.goodreads.com/book/show/30929.Decline_and_Fall
White Noise,Don DeLillo,"3.86 avg rating — 130,813 ratings",https://www.goodreads.com/book/show/28251250-white-noise
The Girls of Slender Means,Muriel Spark,"3.65 avg rating — 8,754 ratings",https://www.goodreads.com/book/show/69517.The_Girls_of_Slender_Means
Invisible Cities,Italo Calvino,"4.09 avg rating — 101,187 ratings",https://www.goodreads.com/book/show/9809.Invisible_Cities
The Little World of Don Camillo,Giovannino Guareschi,"4.22 avg rating — 4,707 ratings",https://www.goodreads.com/book/show/875578.The_Little_World_of_Don_Camillo
Girlfriend in a Coma,Douglas Coupland(Goodreads Author),"3.62 avg rating — 20,147 ratings",https://www.goodreads.com/book/show/3384.Girlfriend_in_a_Coma
The Monk,Matthew Gregory Lewis,"3.87 avg rating — 35,781 ratings",https://www.goodreads.com/book/show/93157.The_Monk
The Midwich Cuckoos,John Wyndham,"3.90 avg rating — 30,192 ratings",https://www.goodreads.com/book/show/161846.The_Midwich_Cuckoos
Zami: A New Spelling of My Name,Audre Lorde,"4.40 avg rating — 24,745 ratings",https://www.goodreads.com/book/show/395220.Zami
The Caine Mutiny,Herman Wouk,"4.30 avg rating — 27,434 ratings",https://www.goodreads.com/book/show/368772.The_Caine_Mutiny
Effi Briest,Theodor Fontane,"3.28 avg rating — 16,933 ratings",https://www.goodreads.com/book/show/442296.Effi_Briest
The Children of Men,P.D. James,"3.67 avg rating — 53,654 ratings",https://www.goodreads.com/book/show/41913.The_Children_of_Men
"Gilead (Gilead, #1)",Marilynne Robinson,"3.85 avg rating — 129,193 ratings",https://www.goodreads.com/book/show/68210.Gilead
The Baron in the Trees,Italo Calvino,"4.02 avg rating — 55,479 ratings",https://www.goodreads.com/book/show/9804.The_Baron_in_the_Trees
The Satanic Verses,Salman Rushdie,"3.71 avg rating — 73,182 ratings",https://www.goodreads.com/book/show/12781.The_Satanic_Verses
Swann's Way,Marcel Proust,"4.16 avg rating — 70,806 ratings",https://www.goodreads.com/book/show/6377763-swann-s-way
The Machine-Gunners,Robert Westall,"3.94 avg rating — 2,609 ratings",https://www.goodreads.com/book/show/10963.The_Machine_Gunners
Around the World in Eighty Days,Jules Verne,"3.95 avg rating — 290,298 ratings",https://www.goodreads.com/book/show/54479.Around_the_World_in_Eighty_Days
Dolores Claiborne,Stephen  King(Goodreads Author),"3.95 avg rating — 175,165 ratings",https://www.goodreads.com/book/show/10625.Dolores_Claiborne
A Bend in the River,V.S. Naipaul,"3.77 avg rating — 19,115 ratings",https://www.goodreads.com/book/show/5845.A_Bend_in_the_River
Waiting for the Barbarians,J.M. Coetzee,"3.93 avg rating — 36,874 ratings",https://www.goodreads.com/book/show/6194.Waiting_for_the_Barbarians
Dombey and Son,Charles Dickens,"3.96 avg rating — 16,963 ratings",https://www.goodreads.com/book/show/50827.Dombey_and_Son
Cold Mountain,Charles Frazier,"3.89 avg rating — 252,052 ratings",https://www.goodreads.com/book/show/10920.Cold_Mountain
The Good Companions,J.B. Priestley,4.13 avg rating — 798 ratings,https://www.goodreads.com/book/show/625233.The_Good_Companions
Voss,Patrick White,"3.79 avg rating — 3,712 ratings",https://www.goodreads.com/book/show/411496.Voss
The Adventures of Augie March,Saul Bellow,"3.84 avg rating — 19,138 ratings",https://www.goodreads.com/book/show/11908.The_Adventures_of_Augie_March
Under the Skin,Michel Faber,"3.75 avg rating — 30,320 ratings",https://www.goodreads.com/book/show/123063.Under_the_Skin
Oscar and Lucinda,Peter Carey,"3.73 avg rating — 22,022 ratings",https://www.goodreads.com/book/show/11277511-oscar-and-lucinda
The Life and Loves of a She Devil,Fay Weldon,"3.76 avg rating — 6,588 ratings",https://www.goodreads.com/book/show/815492.The_Life_and_Loves_of_a_She_Devil
Hard Times,Charles Dickens,"3.55 avg rating — 76,059 ratings",https://www.goodreads.com/book/show/5344.Hard_Times
"Herland (The Herland Trilogy, #2)",Charlotte Perkins Gilman,"3.48 avg rating — 27,380 ratings",https://www.goodreads.com/book/show/531509.Herland
Birdsong,Sebastian Faulks,"4.11 avg rating — 85,226 ratings",https://www.goodreads.com/book/show/6259.Birdsong
No Country for Old Men,Cormac McCarthy,"4.17 avg rating — 264,561 ratings",https://www.goodreads.com/book/show/12497.No_Country_for_Old_Men
The Secret Agent,Joseph Conrad,"3.58 avg rating — 25,460 ratings",https://www.goodreads.com/book/show/8325004-the-secret-agent
We Need to Talk About Kevin,Lionel Shriver(Goodreads Author),"4.08 avg rating — 221,418 ratings",https://www.goodreads.com/book/show/80660.We_Need_to_Talk_About_Kevin
"Postmortem (Kay Scarpetta, #1)",Patricia Daniels Cornwell,"4.02 avg rating — 267,863 ratings",https://www.goodreads.com/book/show/6534.Postmortem
The Ragged Trousered Philanthropists,Robert Tressell,"4.04 avg rating — 10,634 ratings",https://www.goodreads.com/book/show/921359.The_Ragged_Trousered_Philanthropists
Zuleika Dobson,Max Beerbohm,"3.52 avg rating — 4,978 ratings",https://www.goodreads.com/book/show/778463.Zuleika_Dobson
Elmer Gantry: Le charlatan,Sinclair Lewis,"4.01 avg rating — 6,537 ratings",https://www.goodreads.com/book/show/11378.Elmer_Gantry
